"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 19 15:04:40 UTC 2026","Thu Feb 19 15:04:48 UTC 2026","8011","","#3 - Recuperação de Senha","","com.vemser.dbcbank.tests.recuperarSenha.PostRecuperarSenhaTest","testDeveRealizarRecuperacaoDeSenhaComTokenDeRecuperacaoValidoEComSenhaEConfirmacaoDeSenhaIguais","#3 [CTA-006] Deve realizar recuperação de senha com token de recuperação válido e com senha e confirmação de senha idênticos","Verifica se o sistema realiza a recuperação de senha quando as credencias estão validas"
"passed","Thu Feb 19 14:59:10 UTC 2026","Thu Feb 19 14:59:49 UTC 2026","39727","","com.vemser.dbcbank.tests.deposito.PostDepositoTest","","com.vemser.dbcbank.tests.deposito.PostDepositoTest","testDeveRetornarOCorpoDaRespostaConformeOContratoDefinido","#7 [CTA-014] Deve retornar o corpo da resposta conforme o contrato definido","Verifica se o corpo da resposta da API está retornando de acordo com o contrato"
"passed","Thu Feb 19 15:04:10 UTC 2026","Thu Feb 19 15:04:22 UTC 2026","11884","","#4 - Trocar Senha","","com.vemser.dbcbank.tests.trocarSenha.PostTrocaSenhaTest","testNaoDeveAlterarSenhaComDadosUsuario","#4 [CTA-005] Tentar alterar senha informando uma nova senha contendo dados do usuário","Verifica se o sistema impede a alteração de senha quando informado uma nova senha com dados pessoais do usuário"
"passed","Thu Feb 19 15:04:58 UTC 2026","Thu Feb 19 15:05:09 UTC 2026","10765","","#2 - Login","","com.vemser.dbcbank.tests.login.PostLoginTest","testNaoDeveRealizarLoginComSenhaIncorreta","#2 [CTA-002] Não deve realizar login com senha incorreta","Verifica se o sistema não realiza login quando a senha está incorreta"
"passed","Thu Feb 19 15:05:09 UTC 2026","Thu Feb 19 15:05:13 UTC 2026","4426","","#2 - Login","","com.vemser.dbcbank.tests.login.PostLoginTest","testNaoDeveRealizarLoginComSenhaInvalida","#2 [CTA-005] Não deve realizar login com senha inválida","Verifica se o sistema não realiza login quando a senha está em formato inválido"
"passed","Thu Feb 19 15:04:48 UTC 2026","Thu Feb 19 15:04:54 UTC 2026","5962","","#3 - Recuperação de Senha","","com.vemser.dbcbank.tests.recuperarSenha.PostRecuperarSenhaTest","testNaoDeveRealizarRecuperacaoDeSenhaComTokenDeRecuperacaoValidoEComSenhaEConfirmacaoDeSenhaDiferentes","#3 [CTA-007] Não deve realizar recuperação de senha com token de recuperação válido e com senha e confirmação de senha diferentes","Verifica se o sistema impede a recuperação de senha quando a senha e confirmação de senha estão diferentes"
"failed","Thu Feb 19 14:58:17 UTC 2026","Thu Feb 19 14:58:18 UTC 2026","424","","com.vemser.dbcbank.tests.limiteTransacoes.PostLimiteTransacaoTest","","com.vemser.dbcbank.tests.limiteTransacoes.PostLimiteTransacaoTest","testNaoDeveDefinirLimiteDiarioIgualAZero","#10 [CTA-004] Definir limite diário igual a zero","O objetivo deste teste é verificar se o sistema impede a definição de um limite diário igual a zero."
"passed","Thu Feb 19 15:04:54 UTC 2026","Thu Feb 19 15:04:57 UTC 2026","2402","","#3 - Recuperação de Senha","","com.vemser.dbcbank.tests.recuperarSenha.PostRecuperarSenhaTest","testDeveRealizarRecuperacaoDeSenhaComEmailValido","#3 [CTA-001] Deve realizar recuperação de senha com e-mail válido","Verifica se o sistema realiza a recuperação de senha quando informado um email valido"
"failed","Thu Feb 19 15:03:36 UTC 2026","Thu Feb 19 15:03:37 UTC 2026","1159","","#4 - Trocar Senha","","com.vemser.dbcbank.tests.trocarSenha.PostTrocaSenhaTest","testNaoDeveTrocarSenhaInformandoSenhaAtualIncorreta","#4 [CTA-001] Tentar alterar senha informando senha atual incorreta","Verifica se o sistema impede a alteração de senha quando informado a atual senha incorreta"
"failed","Thu Feb 19 15:05:47 UTC 2026","Thu Feb 19 15:06:16 UTC 2026","29396","","#2 - Login","","com.vemser.dbcbank.tests.login.PostLoginTest","testNaoDeveRealizarLoginComCUsuarioBloqueado","#2 [CTA-009] Não deve realizar login de um usuário bloqueado","Verifica se o sistema não realiza login quando o usuário está bloqueado"
